dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,0,AnnualCrop,0.8971061093247589
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,1,Forest,0.9003115264797508
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,2,HerbaceousVegetation,0.7561436672967864
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,3,Highway,0.7494145199063232
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,4,Industrial,0.8764478764478765
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,5,Pasture,0.7725118483412322
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,6,PermanentCrop,0.7038461538461539
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,7,Residential,0.9313725490196079
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,8,River,0.9209486166007905
eurosat,swin_b_satlas-ms_ms9,10,42,stage1,9,SeaLake,0.9933554817275747
